edacc_EDACC-C27_3059	i am actually working for a translation agency and
edacc_EDACC-C27_3110	yeah exactly do you like cats do you have any pets
voxpopuli_20151005-0900-PLENARY-9-en_20151005-17:17:36_1	the deadline for putting amendments will be tomorrow and the ecr group has indeed submitted an amendment limiting the amount of days in strasbourg during a session from 4 to 3 that has
voxpopuli_20180419-0900-PLENARY-16-en_20180419-15:19:07_22	the eu occurred the image of the most progressive power in terms of environmental regulation and it should uphold this principle also in maritime trade relations this will also contribute to our
voxpopuli_20101110-0900-PLENARY-9-en_20101110-15:35:32_1	as you know the summit will take place on the 20th of november in lisbon
voxpopuli_20190212-0900-PLENARY-en_20190212-14:10:14_6	i was the shadow repartee of the libye committee is opinion to this report and i voted in favor but i am convinced that in hess cooperation must aim the full cooperation which is the ultimate goal thank you
voxpopuli_20171025-0900-PLENARY-18-en_20171025-15:58:29_0	thanks so much
voxpopuli_20121023-0900-PLENARY-11-en_20121023-16:41:31_4	the main purpose of the union of the mediterranean then barcelona process was not to deal judge or attempt to resolve political issues of the partners like the middle east problem its purpose through the
voxpopuli_20091216-0900-PLENARY-8-en_20091216-15:17:58_8	pakistan should be in a position next time to adequately fight the influx of insurgents from afghanistan finally diplomacy is needed
voxpopuli_20140916-0900-PLENARY-14-en_20140916-15:52:23_0	thank you mister neeker i now give the floor to mister fox thank you madam president horizon 2020 is one of the areas of the eu budget
voxpopuli_20101020-0900-PLENARY-17-en_20101020-23:41:58_8	or laptop computer and there is no intention to change this we will not change this and
voxpopuli_20180502-0900-PLENARY-30-en_20180502-23:07:44_6	many of the non citizens of latvia were born in latvia as elite they are 4 generations
voxpopuli_20170201-0900-PLENARY-7-en_20170201-15:25:23_0	we agree with the other proposal when it comes to debating plenary on the theme democracy and justice in romania we agree with this proposal and we add to this proposal a proper discussion in libya afterwards as well as a fact finding mission to romania
voxpopuli_20170315-0900-PLENARY-10-en_20170315-15:50:02_6	and i think it is short sighted and it is inefficient it will not stop the brave x mentioned here
voxpopuli_20180612-0900-PLENARY-4-en_20180612-12:11:19_3	and from this viewpoint i believe that we need to go beyond the commission is proposals because if we want to support conversions the problem to support reforms should be clearly in favor of reforms in favor of growth increasing sustainability of our social welfare systems
