voxpopuli_20191023-0900-PLENARY-en_20191023-16:40:32_2	this cost is greater in some countries than in others poland is an extreme
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_3	we expect proposals fostering harmonization of standards but also reducing complexity and also maybe identifying new asset classes if we want to invest for example in energy infrastructures there has been a lot of talk about
voxpopuli_20191126-0900-PLENARY-en_20191126-19:45:55_9	it was poland maybe the value
voxpopuli_20191218-0900-PLENARY-en_20191218-17:43:27_0	an exercise for thank you president mister hire vice president welcome to parliament despite experiment in the domain of economy china is still a communist state
voxpopuli_20180705-0900-PLENARY-4-en_20180705-10:16:06_3	that is a matter of concern with changes
voxpopuli_20130909-0900-PLENARY-16-en_20130909-20:10:31_0	and let me inform you that we have registered at 16 request for kdi we are unable to to give floor to all of you so
voxpopuli_20180205-0900-PLENARY-21-en_20180205-23:43:14_4	so my proposal to the council list to give us a precise list of criteria number one and secondly and secondly how this list will be then developed in fighting tax evasion and tax avoidance across the world
voxpopuli_20170314-0900-PLENARY-6-en_20170314-13:32:21_0	i was voting against i was voting against the regarding of amendments i was voting against on the principle what is the fundamental difference between a free man and a slave the difference is that a slave is not allowed to possess weapons it is not allowed to be weapons terrorists is
voxpopuli_20170215-0900-PLENARY-13-en_20170215-15:59:58_6	they not have that same thought in their mind they must work and not think about something for no
voxpopuli_20170201-0900-PLENARY-9-en_20170201-17:12:50_0	fin colleague in colleague in solidarity has provided for within libo treat should be a founding principle of the nrg union construct
voxpopuli_20151027-0900-PLENARY-18-en_20151027-23:03:43_3	to certain extent also explain why we could not do certain things we could not do them also because we also
voxpopuli_20160607-0900-PLENARY-3-en_20160607-10:42:32_2	actually the report is much worse than the original commission is proposal one of the most controversial
voxpopuli_20130206-0900-PLENARY-11-en_20130206-17:36:28_0	thank you mister president but i am minister i am sorry for being a bit late to the debate but parallel there is a conference of presidents of the european parliaments talking exactly about the mission mister mission to ukraine and coming from that meeting
