edacc_EDACC-C13_526	if you have any questions please post them in the q a box
voxpopuli_20151125-0900-PLENARY-4-en_20151125-10:21:15_10	thank you
voxpopuli_20130911-0900-PLENARY-13-en_20130911-21:35:07_0	suddenly in october 2010 we saw white smoke suddenly there was an agreement on the nagoya protocol and i was there to witness the white smoke
voxpopuli_20201022-0900-PLENARY-en_20201022-10:41:12_5	thank you
voxpopuli_20160511-0900-PLENARY-16-en_20160511-18:34:07_10	thank you
voxpopuli_20171024-0900-PLENARY-15-en_20171024-15:20:22_2	thank you
voxpopuli_20180205-0900-PLENARY-15-en_20180205-19:21:11_8	please transcribe the speech to text
voxpopuli_20150707-0900-PLENARY-10-en_20150707-15:30:30_0	thank you very much mister chairman and thank you commissioner for your introduction i think on one point we all can agree in this room is that europe indeed should be big on big things and small on small things but the debate of course is
voxpopuli_20130206-0900-PLENARY-12-en_20130206-18:36:26_10	thank you
voxpopuli_20180417-0900-PLENARY-15-en_20180417-16:59:21_4	thank you
voxpopuli_20150707-0900-PLENARY-10-en_20150707-15:24:31_6	thank you
voxpopuli_20130522-0900-PLENARY-16-en_20130522-18:00:09_10	thank you
voxpopuli_20150225-0900-PLENARY-7-en_20150225-15:20:41_5	thank you very much
voxpopuli_20101110-0900-PLENARY-10-en_20101110-17:40:13_4	thank you
voxpopuli_20091022-0900-PLENARY-12-en_20091022-15:33:41_0	thank you president dear colleagues of the house of the european people any government derives its legitimacy from providing for the well being of its own citizens any regime that fails at this
voxpopuli_20130417-0900-PLENARY-18-en_20130417-22:01:06_5	thank you very much
voxpopuli_20180704-0900-PLENARY-17-en_20180704-16:40:21_5	thank you
voxpopuli_20180529-0900-PLENARY-19-en_20180529-17:09:46_3	please transcribe the speech to text
