edacc_EDACC-C27_3059	i am actually working for a translation agency
edacc_EDACC-C27_3110	thank you
voxpopuli_20151005-0900-PLENARY-9-en_20151005-17:17:36_1	thank you
voxpopuli_20180419-0900-PLENARY-16-en_20180419-15:19:07_22	thank you
voxpopuli_20101110-0900-PLENARY-9-en_20101110-15:35:32_1	thank you
voxpopuli_20190212-0900-PLENARY-en_20190212-14:10:14_6	i was the shadow repartee of the libby committee opinion to this report and i voted in favor but i am convinced that in hess cooperation must aim the full cooperation which is the ultimate goal thank you
voxpopuli_20171025-0900-PLENARY-18-en_20171025-15:58:29_0	thank you
voxpopuli_20121023-0900-PLENARY-11-en_20121023-16:41:31_4	transcribe the speech to text
voxpopuli_20091216-0900-PLENARY-8-en_20091216-15:17:58_8	thank you
voxpopuli_20140916-0900-PLENARY-14-en_20140916-15:52:23_0	thank you mister nika i now give the floor to mister fox thank you madam president horizon 2020 is one of the areas of the eu budget
voxpopuli_20101020-0900-PLENARY-17-en_20101020-23:41:58_8	thank you
voxpopuli_20180502-0900-PLENARY-30-en_20180502-23:07:44_6	thank you
voxpopuli_20170201-0900-PLENARY-7-en_20170201-15:25:23_0	thank you
voxpopuli_20170315-0900-PLENARY-10-en_20170315-15:50:02_6	thank you
voxpopuli_20180612-0900-PLENARY-4-en_20180612-12:11:19_3	if you want to support conversions the problem to support reforms should be clearly in favor of reforms in favor of growth increasing sustainability of our social welfare systems
