edacc_EDACC-C07_68	i did shopping for one person and one person for another
edacc_EDACC-C07_90	i do not want to feel so insecure
voxpopuli_20191023-0900-PLENARY-en_20191023-16:40:32_2	thank you
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_3	thank you
voxpopuli_20191218-0900-PLENARY-en_20191218-17:43:27_0	thank you president mister heir vice president welcome to parliament despite experiments in the domain of economy china is still a communist state
voxpopuli_20170315-0900-PLENARY-12-en_20170315-17:39:36_0	thank you very much chair commissioner dear colleagues for the committee on constitutional affairs of the european parliament the revision of the regulation on the statute and funding of european political parties and european political foundations is indeed a matter of urgency
voxpopuli_20180705-0900-PLENARY-4-en_20180705-10:16:06_3	thank you
voxpopuli_20190327-0900-PLENARY-en_20190327-09:34:18_0	mister president ladies and gentlemen honorable members as always there is good news and there is bad news the good news is that the council has managed to set out a clear
voxpopuli_20130909-0900-PLENARY-16-en_20130909-20:10:31_0	let me inform you that we have registered 16 requests for cahdi we are unable to give floor to all of you
voxpopuli_20180205-0900-PLENARY-21-en_20180205-23:43:14_4	thank you
voxpopuli_20130311-0900-PLENARY-13-en_20130311-18:30:13_2	thank you
voxpopuli_20171214-0900-PLENARY-3-en_20171214-08:55:28_3	thank you
voxpopuli_20170201-0900-PLENARY-9-en_20170201-17:12:50_0	thank you very much ms werner it will be one minute long ms votiga
voxpopuli_20151027-0900-PLENARY-18-en_20151027-23:03:43_3	thank you
voxpopuli_20160607-0900-PLENARY-3-en_20160607-10:42:32_2	thank you
voxpopuli_20130206-0900-PLENARY-11-en_20130206-17:36:28_0	transcribe the speech to text
