edacc_EDACC-C07_68	yes i did a shopping for one person and
edacc_EDACC-C07_90	i could pick up some extra because i do not want to be i do not want to feel so financially insecure
voxpopuli_20191023-0900-PLENARY-en_20191023-16:40:32_2	this cost is greater in some countries than in others poland is an extreme
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_3	we expect proposals fostering harmonization of standards but also reducing complexity and also maybe identifying new asset classes if we want to invest for example in energy infrastructures there has been a lot of talk about
voxpopuli_20191218-0900-PLENARY-en_20191218-17:43:27_0	an exercise for thank you president mister hire vice president welcome to parliament despite experiment in the domain of economy china is still a communist state
voxpopuli_20170315-0900-PLENARY-12-en_20170315-17:39:36_0	thank you thank you very much chair commissioner dear colleagues for the committee on constitutional affairs of the european and the revision of the regulation on the statute and fund funding of european political parties and european political foundations is indeed a matter of urgency you probably know
voxpopuli_20180705-0900-PLENARY-4-en_20180705-10:16:06_3	that is a matter of concern with changes
voxpopuli_20190327-0900-PLENARY-en_20190327-09:34:18_0	n power i will present a group of the conserv refer me mister president ladies honorable members always there is good news and there is bad news the good news is that the council has managed to set out a career time
voxpopuli_20130909-0900-PLENARY-16-en_20130909-20:10:31_0	and let me inform you that we have registered at 16 request for kdi we are unable to to give floor to all of you so
voxpopuli_20180205-0900-PLENARY-21-en_20180205-23:43:14_4	so my proposal to the council list to give us a precise list of criteria number one and secondly and secondly how this list will be then developed in fighting tax evasion and tax avoidance across the world
voxpopuli_20130311-0900-PLENARY-13-en_20130311-18:30:13_2	special but not as a system i do not think that men in that sense are prosecuted yeah
voxpopuli_20171214-0900-PLENARY-3-en_20171214-08:55:28_3	on the the lives of citizens the right to petition is the fund
voxpopuli_20170201-0900-PLENARY-9-en_20170201-17:12:50_0	fin colleague in colleague in solidarity has provided for within libo treat should be a founding principle of the nrg union construct
voxpopuli_20151027-0900-PLENARY-18-en_20151027-23:03:43_3	to certain extent also explain why we could not do certain things we could not do them also because we also
voxpopuli_20160607-0900-PLENARY-3-en_20160607-10:42:32_2	actually the report is much worse than the original commission is proposal one of the most controversial
voxpopuli_20130206-0900-PLENARY-11-en_20130206-17:36:28_0	thank you mister president but i am minister i am sorry for being a bit late to the debate but parallel there is a conference of presidents of the european parliaments talking exactly about the mission mister mission to ukraine and coming from that meeting
