edacc_EDACC-C27_3059	i am actually working for a translation agency and
edacc_EDACC-C27_3110	yeah exactly do you like cats do you have any pet
voxpopuli_20120703-0900-PLENARY-4-en_20120703-12:18:54_8	what is this core boat of member states compliance on strat on the strategy europe 2020 how far member states have they
voxpopuli_20180419-0900-PLENARY-16-en_20180419-15:19:07_22	the occurred the image of the most progressive forward in terms of environmental regulation and it should uphold this principle also in in maritime trade relations this will also contribute to
voxpopuli_20181113-0900-PLENARY-en_20181113-17:32:56_4	georgia is the example providing that the u structure for policy really works even in the u still
voxpopuli_20190212-0900-PLENARY-en_20190212-14:10:14_6	i was a shadow reporter of the committee opinion to this report and i wrote it in favor but i am convinced that in case preparation must aim the full preparation which is the ultimate goal thank you
voxpopuli_20171025-0900-PLENARY-18-en_20171025-15:58:29_0	thanks inf i am sorry this is neo fascism and racism dressed up in suits you should not be able to set
voxpopuli_20121023-0900-PLENARY-11-en_20121023-16:41:31_4	the main purpose of the union of the mediterranean then barcelona process was not to deal judge or attempt to resolve political issues of the partners like the middle east problem its purpose through the
voxpopuli_20101020-0900-PLENARY-17-en_20101020-23:41:58_8	or laptop computer and there is no intention to change this we will not change this
voxpopuli_20180502-0900-PLENARY-30-en_20180502-23:07:44_6	many of the non citizens of laia were born in laia as elite therefore generat
voxpopuli_20170315-0900-PLENARY-10-en_20170315-15:50:02_6	and i think it is shortsighted and it is inefficient it will not stop the braves mentioned here
voxpopuli_20180612-0900-PLENARY-4-en_20180612-12:11:19_3	and from is your point i believe that to we need to go beyond the commission is proposals because if we want to support conversions the problem to support reforms should be clearly in favor of reforms in favor of growth increasing sustainability of our social welfare systems
