edacc_EDACC-C07_68	yes i did a shopping for one person and
voxpopuli_20191023-0900-PLENARY-en_20191023-16:40:32_2	this cost is greater in some countries than in others poland is an extreme
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_3	we expect proposals fostering harmonization of standards but also reducing complexity and also maybe identifying new asset classes if we want to invest for example in energy infrastructures there has been a lot of talk about
voxpopuli_20150609-0900-PLENARY-13-en_20150609-18:08:13_1	i would ask you to reach the capital i for example to see what is in this report in fact well the discussion here is also also somebody he is saying that
voxpopuli_20191218-0900-PLENARY-en_20191218-17:43:27_0	an exercise for thank you president mister hire vice president welcome to parliament despite experiment in the domain of economy china is still a communist state
voxpopuli_20170315-0900-PLENARY-12-en_20170315-17:39:36_0	thank you thank you very much chair commissioner dear colleagues for the committee on constitutional affairs of the european and the revision of the regulation on the statute and fund funding of european political parties and european political foundations is indeed a matter of urgency you probably know
voxpopuli_20180705-0900-PLENARY-4-en_20180705-10:16:06_3	that is a matter of concern with changes
voxpopuli_20180205-0900-PLENARY-21-en_20180205-23:43:14_4	so my proposal to the council list to give us a precise list of criteria number one and secondly and secondly how this list will be then developed in fighting tax evasion and tax avoidance across the world
voxpopuli_20170215-0900-PLENARY-13-en_20170215-15:59:58_6	they not have that same thought in their mind they must work and not think about something for no
voxpopuli_20170201-0900-PLENARY-9-en_20170201-17:12:50_0	fin colleague in colleague in solidarity has provided for within libo treat should be a founding principle of the nrg union construct
voxpopuli_20151027-0900-PLENARY-18-en_20151027-23:03:43_3	to certain extent also explain why we could not do certain things we could not do them also because we also
voxpopuli_20160607-0900-PLENARY-3-en_20160607-10:42:32_2	actually the report is much worse than the original commission is proposal one of the most controversial
voxpopuli_20130206-0900-PLENARY-11-en_20130206-17:36:28_0	thank you mister president but i am minister i am sorry for being a bit late to the debate but parallel there is a conference of presidents of the european parliaments talking exactly about the mission mister mission to ukraine and coming from that meeting
