edacc_EDACC-C27_3059	i am actually working for a translation agency and
edacc_EDACC-C27_3060	we are translating content most of the time videos and programs for personal development or personal growth we are translating it from english to french in my team but in the company there are other teams for example they also translate it in spanish in german in portuguese in italian i really like it as well i totally understand what you mean i mean i can see that because now i am working from home and i do not have these expenses these defenses so yeah that is really cool i really like to do that and same as you i am now in a weekend so that is pretty cool
edacc_EDACC-C27_3110	yeah exactly do you like cats do you have any pets
voxpopuli_20101020-0900-PLENARY-15-en_20101020-21:48:16_13	there has also been a remark on the cotton export now there is a scarcity
voxpopuli_20130704-0900-PLENARY-10-en_20130704-12:51:27_2	of power to the head of the high constitutional court until early present
voxpopuli_20120703-0900-PLENARY-4-en_20120703-12:18:54_8	what is the scoreboard of member states compliance on the strategy europe 2020 how far member states have they gone
voxpopuli_20151005-0900-PLENARY-9-en_20151005-17:17:36_1	the ecr group has indeed submitted an amendment limiting the amount of days in strasbourg during a session from 4 to 3 that has been a key point of the ecr group
voxpopuli_20180419-0900-PLENARY-16-en_20180419-15:19:07_22	the eu occurred the image of the most progressive power in terms of environmental regulation and it should uphold this principle also in maritime trade relations this will also contribute to
voxpopuli_20181113-0900-PLENARY-en_20181113-17:32:56_4	georgia is an example providing that the eu structural foreign policy really works even in the eu it is still
voxpopuli_20101110-0900-PLENARY-9-en_20101110-15:35:32_1	as you know the summit will take place on the 20th of november in lisbon
voxpopuli_20190212-0900-PLENARY-en_20190212-14:10:14_6	i was the shadow repartee of the libby committee opinion to this report and i voted in favor but i am convinced that in hess cooperation must aim the full cooperation which is the ultimate goal thank you
voxpopuli_20171025-0900-PLENARY-18-en_20171025-15:58:29_0	thanks so much enough i am sorry this is neo fascism and racism dressed up in suits you should not be able to say
voxpopuli_20180913-0900-PLENARY-en_20180913-15:17:20_0	thank you very much mister president dear colleagues honorable commissioner my friend and real socialist mister andriukaitis the nights of may european day is a big event for us
voxpopuli_20150708-0900-PLENARY-5-en_20150708-12:13:03_4	why have you made the referendum only now if you wanted to make the referendum
voxpopuli_20110216-0900-PLENARY-15-en_20110216-19:26:47_32	while retaining korea is ambitious emission reduction objectives
voxpopuli_20121023-0900-PLENARY-11-en_20121023-16:41:31_4	the main purpose of the union of the mediterranean then barcelona process was not to deal judge or attempt to resolve political issues of the partners like the middle east problem its purpose through the
voxpopuli_20091216-0900-PLENARY-8-en_20091216-15:17:58_8	pakistan should be in a position next time to adequately fight the influx of insurgents from afghanistan finally diplomacy is needed
voxpopuli_20140916-0900-PLENARY-14-en_20140916-15:52:23_0	thank you mister nika and i will give the floor to mister fox thank you madam president horizon 2020 is one of the areas of the eu budget
voxpopuli_20101020-0900-PLENARY-17-en_20101020-23:41:58_8	or laptop computer and there is no intention to change this we will not change this and
voxpopuli_20170301-0900-PLENARY-19-en_20170301-23:16:55_1	according to stockholm international peace research institute the world military spending reached 1000000000700
voxpopuli_20180502-0900-PLENARY-30-en_20180502-23:07:44_6	many of the non citizens of latvia were born in latvia as elite therefore generationally
voxpopuli_20180705-0900-PLENARY-en_20180705-12:59:28_5	therefore colleagues we need to monitor the enforcement and effective practical application for the fertility test package by collecting and recording annually information about the number of people arrested for facilitation thank you
voxpopuli_20181114-0900-PLENARY-en_20181114-14:12:18_7	thank you mister sosniest
voxpopuli_20170201-0900-PLENARY-7-en_20170201-15:25:23_0	we agree with the other proposal when it comes to debate in plenary on the theme democracy and justice in romania we agree with this proposal and we add to this proposal a proper discussion in libya afterwards as well as a fact finding mission to romania
voxpopuli_20170315-0900-PLENARY-10-en_20170315-15:50:02_6	and i think it is short sighted and it is inefficient it will not stop the brave x mentioned here
voxpopuli_20180612-0900-PLENARY-4-en_20180612-12:11:19_3	and from this viewpoint i believe that we need to go beyond the commission is proposals because if we want to support conversions the problem to support reforms should be clearly in favor of reforms in favor of growth increasing sustainability of our social welfare systems
