edacc_EDACC-C27_3059	i am actually working for a translation agency and
edacc_EDACC-C27_3060	thank you i can not see it because i am working from home and i do not have these expenses
edacc_EDACC-C27_3110	yeah exactly do you like cats do you have any pets
voxpopuli_20101020-0900-PLENARY-15-en_20101020-21:48:16_13	there has also been a remark on the cotton export now there is a scarcity
voxpopuli_20130704-0900-PLENARY-10-en_20130704-12:51:27_2	having regards to the statesmen of general abdul fattah khalil al sisi chairman of the supreme council of the armed forces of egypt of 4 july 2013 thank you
voxpopuli_20120703-0900-PLENARY-4-en_20120703-12:18:54_8	what is the score boat of member states compliance on the strategy europe 2020
voxpopuli_20151005-0900-PLENARY-9-en_20151005-17:17:36_1	thank you
voxpopuli_20180419-0900-PLENARY-16-en_20180419-15:19:07_22	the u occurred the image of the most progressive power in terms of environmental regulation and it should uphold this principle also in its many times trade relations this will also contribute to
voxpopuli_20181113-0900-PLENARY-en_20181113-17:32:56_4	georgia is the example providing that the eu structure for policy really works even in the eu it still
voxpopuli_20101110-0900-PLENARY-9-en_20101110-15:35:32_1	thank you
voxpopuli_20190212-0900-PLENARY-en_20190212-14:10:14_6	i was the shadow reporter of the libycompany is opinion to this report and i voted in favor but i am convinced that in his cooperation must aim the full cooperation which is the ultimate goal thank you
voxpopuli_20171025-0900-PLENARY-18-en_20171025-15:58:29_0	thank you so much
voxpopuli_20180913-0900-PLENARY-en_20180913-15:17:20_0	thank you very much mister president dear colleagues honorable commissioner my friend and real socialist mister andrew kites the night of may european day is a big event for us
voxpopuli_20150708-0900-PLENARY-5-en_20150708-12:13:03_4	why have you made the referendum only now if you wanted to make the referendum .
voxpopuli_20110216-0900-PLENARY-15-en_20110216-19:26:47_32	the language could only be heard in the proof version of this speech which will be grabbed by the public and offered to partners from allah is behavior the speech was in pretend cut and done on the grounds of the public and online dem intentлms it was a process of the speech and then lost itself to the public did you really know about prime governments security
voxpopuli_20121023-0900-PLENARY-11-en_20121023-16:41:31_4	the main purpose of the union of the mediterranean then barcelona process was not to deal judge or attempt to resolve political issues of the partners like the middle east problem its purpose through the
voxpopuli_20091216-0900-PLENARY-8-en_20091216-15:17:58_8	pakistan should be in a position next time to adequately fight the influx of insurgents from afghanistan
voxpopuli_20140916-0900-PLENARY-14-en_20140916-15:52:23_0	thank you mister nika and i will give the floor to mister fox thank you madam president horizon 2020 is one of the areas of the eu budget
voxpopuli_20101020-0900-PLENARY-17-en_20101020-23:41:58_8	thank you
voxpopuli_20170301-0900-PLENARY-19-en_20170301-23:16:55_1	according to the stockholm international peace research institute the world is military spending reached 1000000000000 700000000
voxpopuli_20180502-0900-PLENARY-30-en_20180502-23:07:44_6	many of the non citizens of latvia were born in latvia they lived there for generation
voxpopuli_20180705-0900-PLENARY-en_20180705-12:59:28_5	thank you
voxpopuli_20181114-0900-PLENARY-en_20181114-14:12:18_7	the commission must present a proposal for a comprehensive mechanism on democracy the rule of law and fundamental rights thank you
voxpopuli_20170201-0900-PLENARY-7-en_20170201-15:25:23_0	we agree with all their proposals when it comes to debating plenary on the theme democracy and dress in romania we agree with this proposal and we add to this proposal a proper discussion in liber afterwards as well as a fact finding mission to romania
voxpopuli_20170315-0900-PLENARY-10-en_20170315-15:50:02_6	i think it is short sighted and inefficient it will not stop the braviks
voxpopuli_20180612-0900-PLENARY-4-en_20180612-12:11:19_3	i believe we need to go beyond the commission is proposals if we want to support conversions the program to support reforms should be clearly in favor of reforms in favor of growth increasing sustainability of our social welfare systems
