edacc_EDACC-C07_65	plus we had like 4 people on the shift
edacc_EDACC-C07_68	yeah i did shopping for one person
edacc_EDACC-C07_90	i could pick up some extra because i do not want to be i do not want to feel so financially insecure
voxpopuli_20190313-0900-PLENARY-en_20190313-19:37:40_0	yes thank you thank you president president commissioner dear colleagues i 1st of all would like to congratulate the commission for preparing this report and i am convinced that we are making an important step forward when it comes to the strengthening of the economic and monetary union in the
voxpopuli_20160913-0900-PLENARY-4-en_20160913-11:57:35_2	nevertheless our mandate has not been fulfilled yet there is still much work to be done
voxpopuli_20191023-0900-PLENARY-en_20191023-16:40:32_2	this cost is greater in some countries than in others poland is an extreme
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_3	we expect proposals fostering harmonization of standards but also reducing complexity and also maybe identifying new asset classes if we want to invest for example in energy infrastructures there has been a lot of talk about
voxpopuli_20150609-0900-PLENARY-13-en_20150609-18:08:13_1	i would ask you to read the capital i for example to see what is in this report in fact well the discussion here discussion is also also somebody is saying that
voxpopuli_20191126-0900-PLENARY-en_20191126-19:45:55_9	it was poland so maybe the value
voxpopuli_20200129-0900-PLENARY-en_20200129-17:28:09_0	i speak here as epp representative in the brexit steering group but also as former chair of constitutional affairs committee who had over those brexit years nearly 500 meetings with all those potentially affected by brexit from the very beginning of the negotiations the eu side has aimed an orderly withdrawal based on an agreement this is the only thing we could do
voxpopuli_20191218-0900-PLENARY-en_20191218-17:43:27_0	thank you president mister higher vice president welcome to parliament despite experiments in the domain of economy china is still a communist state
voxpopuli_20170315-0900-PLENARY-12-en_20170315-17:39:36_0	thank you thank you very much chair commissioner dear colleagues for the committee on constitutional affairs of the european parliament the revision of the regulation on the statute and funding of european political parties and european political foundations is indeed a matter of urgency you probably know
voxpopuli_20180116-0900-PLENARY-15-en_20180116-17:36:56_1	iran was supporting syria saving from the hands of the sunni extremists and the european union is not supporting iran it is supporting its enemies why only yesterday islamabad declared that only the possession of nuclear weapons saves pakistan from india is aggression why do you try to prevent iran from possessing the same weapons that are in the possession
voxpopuli_20180705-0900-PLENARY-4-en_20180705-10:16:06_3	it is a matter of concern with changes
voxpopuli_20190327-0900-PLENARY-en_20190327-09:34:18_0	mister president ladies and gentlemen honorable members as always there is good news and there is bad news the good news is that the council has managed to set out a clear target
voxpopuli_20130909-0900-PLENARY-16-en_20130909-20:10:31_0	let me inform you that we have registered 16 requests for kjdi we are unable to give floor to all of you
voxpopuli_20180205-0900-PLENARY-21-en_20180205-23:43:14_4	so my proposal to the council is to give us a precise list of criteria number one and secondly how this list will be then developed in fighting tax evasion and tax avoidance across the world thank you
voxpopuli_20130311-0900-PLENARY-13-en_20130311-18:30:13_2	special but not as a system i do not think that men in that sense are prosecuted
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_1	you can strike right from the beginning the right balance between regulation self regulation good practices market forces i hope you will be able to
voxpopuli_20170314-0900-PLENARY-6-en_20170314-13:32:21_0	i was voting against i was voting against disregarding of amendments i was voting against on the principle what is the fundamental difference between a free man and a slave the difference is that a slave is not allowed to possess weapons he is not allowed to bear weapons terrorism is
voxpopuli_20170215-0900-PLENARY-13-en_20170215-15:59:58_6	they must have strange thoughts in their minds they must work and not think about something 4 no words
voxpopuli_20171214-0900-PLENARY-3-en_20171214-08:55:28_3	on the lives of european citizens the right to petition is fundamental
voxpopuli_20170201-0900-PLENARY-9-en_20170201-17:12:50_0	solidarity as provided for within the lisbon treaty should be a founding principle of the energy union
voxpopuli_20160607-0900-PLENARY-13-en_20160607-16:46:09_2	so please i am not responsible for the translation
voxpopuli_20150415-0900-PLENARY-18-en_20150415-22:01:13_1	gypsies are jolly fellows traveling with a cart playing violins and so on but we have problems with the romans excuse me
voxpopuli_20151027-0900-PLENARY-18-en_20151027-23:03:43_3	to a certain extent also explain why we could not do certain things we could not do them also because we also .
voxpopuli_20150520-0900-PLENARY-23-en_20150520-21:01:13_7	thank you
voxpopuli_20140915-0900-PLENARY-13-en_20140915-17:41:03_9	european farmers are waiting for real support we are held of us thank you very much
voxpopuli_20160607-0900-PLENARY-3-en_20160607-10:42:32_2	truly the report is much worse than the original commission is proposal one of the most controversial discussions
voxpopuli_20190704-0900-PLENARY-en_20190704-11:25:31_2	is dead and gone it is even more dead than a parrot
voxpopuli_20130206-0900-PLENARY-11-en_20130206-17:36:28_0	thank you mister president madam minister i am sorry for being a little bit late to the debate but parallelly there is a conference of presidents of the european parliaments talking exactly about the mission mister kvasniewski koch is mission to ukraine and coming from that meeting
